codigo,municipio,uf,ufTabela,populacao
5107107,São José dos Quatro Marcos,Mato Grosso,matogrosso,18906
2514453,São José dos Ramos,Paraíba,paraiba,5957
2210300,São Julião,Piauí,piaui,6363
4318705,São Leopoldo,Rio Grande do Sul,riograndedosul,236835
3163706,São Lourenço,Minas Gerais,minasgerais,45851
2613701,São Lourenço da Mata,Pernambuco,pernambuco,113230
3549953,São Lourenço da Serra,São Paulo,saopaulo,15825
4216909,São Lourenço do Oeste,Santa Catarina,santacatarina,24076
2210359,São Lourenço do Piauí,Piauí,piaui,4573
4318804,São Lourenço do Sul,Rio Grande do Sul,riograndedosul,43582
4217006,São Ludgero,Santa Catarina,santacatarina,13410
2111300,São Luís,Maranhão,maranhao,1101884
1400605,São Luís,Roraima,roraima,7986
5220108,São Luís de Montes Belos,Goiás,goiais,33817
2312601,São Luís do Curu,Ceará,ceara,13000
2210375,São Luís do Piauí,Piauí,piaui,2644
2708501,São Luís do Quitunde,Alagoas,alagoas,34555
2111409,São Luís Gonzaga do Maranhão,Maranhão,maranhao,18856
5220157,São Luiz do Norte,Goiás,goiais,5167
3550001,São Luiz do Paraitinga,São Paulo,saopaulo,10687
4318903,São Luiz Gonzaga,Rio Grande do Sul,riograndedosul,33468
2514909,São Mamede,Paraíba,paraiba,7724
4125555,São Manoel do Paraná,Paraná,parana,2160
3550100,São Manuel,São Paulo,saopaulo,40954
4319000,São Marcos,Rio Grande do Sul,riograndedosul,21556
4319109,São Martinho,Rio Grande do Sul,riograndedosul,5426
4217105,São Martinho,Santa Catarina,santacatarina,3180
4319125,São Martinho da Serra,Rio Grande do Sul,riograndedosul,3234
3204906,São Mateus,Espírito Santo,espiritosanto,130611
2111508,São Mateus do Maranhão,Maranhão,maranhao,41529
4125605,São Mateus do Sul,Paraná,parana,46261
2412500,São Miguel,Rio Grande do Norte,riograndedonorte,23519
3550209,São Miguel Arcanjo,São Paulo,saopaulo,32931
2210383,São Miguel da Baixa Grande,Piauí,piaui,2452
4217154,São Miguel da Boa Vista,Santa Catarina,santacatarina,1820
2929404,São Miguel das Matas,Bahia,bahia,11675
